iter	Passed	Remaining
402	13533	322279
403	13566	322232
404	13597	322151
405	13628	322040
406	13663	322047
407	13695	321967
408	13727	321912
409	13758	321815
410	13787	321679
411	13823	321694
412	13856	321643
413	13889	321594
414	13919	321499
415	13947	321327
416	13979	321265
417	14013	321235
418	14046	321187
419	14079	321137
420	14109	321024
421	14139	320929
422	14171	320860
423	14202	320763
424	14231	320632
425	14263	320549
426	14291	320409
427	14332	320537
428	14365	320503
429	14398	320454
430	14470	321280
431	14505	321280
432	14539	321245
433	14571	321174
434	14604	321122
435	14638	321100
436	14674	321115
437	14707	321075
438	14737	320976
439	14773	320993
440	14807	320959
441	14841	320933
442	14876	320928
443	14929	321320
444	14963	321292
445	14993	321191
446	15023	321069
447	15054	320988
448	15086	320922
449	15117	320826
450	15148	320736
451	15184	320760
452	15218	320731
453	15248	320628
454	15281	320570
455	15311	320475
456	15347	320479
457	15382	320486
458	15414	320403
459	15447	320366
460	15513	321011
461	15548	320993
462	15582	320971
463	15613	320883
464	15644	320789
465	15684	320897
466	15717	320838
467	15749	320774
468	15781	320706
469	15811	320597
470	15844	320557
471	15878	320530
472	15913	320516
473	15948	320523
474	15981	320466
475	16012	320379
476	16043	320292
477	16074	320208
478	16106	320149
479	16137	320065
480	16169	319994
481	16198	319873
482	16229	319794
483	16259	319686
484	16291	319611
485	16341	319898
486	16376	319889
487	16407	319813
488	16441	319775
489	16472	319703
490	16538	320296
491	16577	320359
492	16611	320339
493	16649	320377
494	16684	320379
495	16718	320345
496	16751	320307
497	16784	320259
498	16813	320127
499	16843	320034
500	16878	320016
501	16909	319939
502	16942	319890
503	16977	319872
504	17009	319809
505	17040	319730
506	17072	319661
507	17102	319558
508	17132	319460
509	17160	319312
510	17189	319207
511	17220	319113
512	17248	318988
513	17279	318904
514	17309	318797
515	17339	318699
516	17369	318591
517	17398	318482
518	17428	318378
519	17458	318283
520	17494	318288
521	17528	318271
522	17636	319579
523	17668	319510
524	17713	319686
525	17745	319626
526	17775	319524
527	17808	319478
528	17842	319449
529	17874	319385
530	17907	319340
531	17941	319308
532	17976	319296
533	18013	319313
534	18048	319300
535	18085	319322
536	18121	319338
537	18152	319255
538	18191	319306
539	18224	319263
540	18256	319210
541	18288	319133
542	18320	319068
543	18352	319005
544	18387	318994
545	18422	318979
546	18450	318854
547	18480	318760
548	18514	318719
549	18543	318615
550	18574	318529
551	18607	318479
552	18672	318983
553	18705	318930
554	18734	318831
555	18764	318730
556	18796	318666
557	18826	318564
558	18856	318468
559	18886	318372
560	18917	318299
561	18950	318251
562	18985	318228
563	19013	318101
564	19046	318058
565	19093	318253
566	19126	318194
567	19160	318172
568	19189	318060
569	19219	317965
570	19248	317850
571	19278	317751
572	19311	317716
573	19343	317643
574	19373	317556
575	19401	317437
576	19433	317369
577	19463	317276
578	19493	317185
579	19524	317102
580	19553	316991
581	19587	316960
582	19621	316940
583	19652	316856
584	19749	317847
585	19779	317761
586	19808	317649
587	19838	317555
588	19870	317482
589	19901	317411
590	19945	317534
591	19981	317548
592	20014	317495
593	20048	317466
594	20082	317443
595	20123	317524
596	20159	317515
597	20192	317481
598	20227	317454
599	20260	317415
600	20291	317341
601	20322	317256
602	20354	317200
603	20386	317143
604	20421	317129
605	20456	317111
606	20490	317073
607	20522	317019
608	20554	316952
609	20587	316918
610	20620	316863
611	20652	316808
612	20684	316743
613	20759	317345
614	20794	317328
615	20825	317256
616	20858	317197
617	20901	317313
618	20933	317254
619	20969	317242
620	21002	317202
621	21046	317315
622	21079	317274
623	21112	317226
624	21147	317209
625	21181	317185
626	21234	317440
627	21273	317479
628	21307	317447
629	21338	317365
630	21369	317292
631	21401	317236
632	21431	317133
633	21462	317062
634	21492	316974
635	21524	316907
636	21556	316847
637	21587	316772
638	21618	316693
639	21650	316642
640	21682	316570
641	21719	316588
642	21750	316521
643	21819	316992
644	21852	316939
645	21885	316892
646	21917	316831
647	21952	316823
648	21986	316787
649	22018	316730
