iter	Logloss	Accuracy
317	0.5213115559	0.76718731318	0.5208722157	0.768319319	0.5204673537	0.768320320	0.5202351217	0.770321	0321	0.5201149423	0.322	0.51322	0.5197198469	0.323	0.51323	0.5194128382	324	0.5120324	0.5189835668	325	0.5116325	0.5186390453	326	0.5113326	0.5181951312	327	0.5110327	0.5179075935328	0.51080328	0.5176939308329	0.5104329	0.5174334098	330	0.5101330	0.5170046891331	0.50987331	0.516517713332	0.50952332	0.5161712416333	0.5092333	0.5159818932	334	0.508334	0.5157805752	0335	0.50335	0.5152516915	0.336	0.5336	0.5148281139	0.7337337	0.5145607825	0.775
338	0.5143220646	0.775
339	0.5140378948	0.775
340	0.5137663558	0.7765625
341	0.5133902782	0.7765625
342	0.513053001	0.7765625
343	0.5126637619	0.7765625
344	0.5124051834	0.7765625
345	0.5121258158	0.7765625
346	0.5118798239	0.7765625
347	0.5115717799	0.7765625
348	0.5112870347	0.77656253349	0.5108604628	0.77968735350	0.5106170955	0.77968735351	0.5102525914	0.7781352352	0.509899971	0.7781235353	0.5097453269	0.77968354354	0.5093419266	0.779355	0355	0.5088616849	0.781356356	0.5086275282	0.781357357	0.5083923099	0.781253358	0.5079231305	0.77968753359	0.5076545535	0.77968753360	0.5074103756	0.77968753361	0.5072171242	0.78125
362	0.5069434224	0.78125
363	0.5066275562	0.781364364	0.5062356113	0.78281365365	0.5058190008	0366	0.498366	0.5056367	0.49814091367	0.5053449368	0.497925368	0.505003209369	0.49768369	0.5047370	0.4974334749	370	0.5043371	0.4971400141	371	372	0.4968954458	0.8031372373	0.4965182182	0.8031237374	0.4962454947	0.804374	0375	0.4959450324	0.804375	0376	0.4954814157	0.803376	377	0.4950693757	0.377	0.50378	0.4947108281	0.378	0.50379	0.4942358123	0.379	0.5380	0.4937215684380	0.5009381	0.49346577381	0.50060382	0.4929155382	0.50025895383	0.4924383	0.4997334244	384	0.4923384	0.49945603385	0.4920640385	0.4990087386	0.4917693386	0.49873387	0.491355716387	0.498388	0.4911312009	388	0.4389	0.4908531201	0389	0.390	0.4904859695	0.8390	391	0.4901200961	0.81239392	0.4897467684	0.8125
393	0.4894196064	0.81406253394	0.4891503348	0.81406239395	0.4888599557	0.8156253396	0.4886805435	0.8156253397	0.4883640141	0.8156253398	0.4880623037	0.8156239399	0.4877489006	0.8156239400	0.4872999058	0.8156254401	0.486912744	0.815625
402	0.4864276629	0.815625
403	0.4860858395	0.815625
404	0.4857859722	0.815625
405	0.4856207043	0.815625
406	0.4853914303	0.815625
407	0.4850967497	0.815625
408	0.484745813	0.815625
409	0.4843984972	0.8156409410	0.4840280013	0.8156241411	0.4837923191	0.8156411412	0.4834928774	0.8156412413	0.4829953916	0.8156413414	0.482680263	0.8156241415	0.4823961641	0.8156254416	0.4822307862	0.815625
417	0.4819302284	0.8171875
418	0.4816561625	0.81718754419	0.4812147528	0.81718741420	0.4808341395	0.818754421	0.480588649	0.8171875
422	0.4802174743	0.81718754423	0.4799908088	0.8218742424	0.4796774844	0.8203424	425	0.4794347378	0.81425	426	0.4791860483	0.818742427	0.4789564263	0.818754428	0.478580547	0.82031254429	0.4783408815	0.82031254430	0.4782112389	0.82031243431	0.477822589	0.82031243432	0.4776343575	0.81875
433	0.4774560337	0.8203125
434	0.4770629208	0.818754435	0.4768183119	0.82031243436	0.4765752272	0.820436	0437	0.4764241923	0.437	0.48438	0.476090652438	0.48262439	0.4757660439	0.4824637440	0.47546440	0.481885373441	0.475441	0.4815459805	0442	0.47442	0.4813448974	443	0.474443	0.4809015705	444	0.474444	0.4807228386	445	0.473445	0.4805409701446	0.4737446	0.4802201447	0.47321861447	0.4797489448	0.47304998448	0.4795532449	0.47275789449	0.4790811450	0.4725271450	0.47881010451	0.472215451	0.47849452	0.471961771452	0.47453	0.471680411	0.453	454	0.4714254866	0.825
455	0.4710143685	0.825
456	0.4705583736	0.8265625
457	0.4703083024	0.8265625
458	0.4699784225	0.8265625
459	0.4697546039	0.828125
460	0.4695861774	0.8265625
461	0.4693134661	0.828125
462	0.4691373543	0.828125
463	0.4689441175	0.828125
464	0.4686097025	0.8296875
465	0.4683594196	0.8296875
466	0.4680910981	0.8296875
467	0.4676985916	0.8296875
468	0.4675297021	0.8296875
469	0.4673000377	0.82968746470	0.4671303595	0.83125
471	0.4669644551	0.831247472	0.4666893727	0.83472	473	0.4664770483	0.831247474	0.4662246073	0.83125
475	0.4658713448	0.83125
476	0.4655285666	0.83125
477	0.4652287618	0.83125
478	0.4648827735	0.83125
479	0.4647137328	0.8328125
480	0.4645093019	0.8328125
481	0.4641260248	0.8328125
482	0.4638748441	0.8328125
483	0.4636412973	0.8343483484	0.4633601171	0.8484	0.485	0.4630532796	0.83485486	0.462639366	0.8375
487	0.4623649833	0.8375
488	0.4619724228	0.8359375
489	0.4616701029	0.8390625
490	0.461507425	0.8390625
491	0.4612532543	0.8390625
492	0.4609047069	0.83906249493	0.460659751	0.83906493494	0.4603790087	0.83906494495	0.4601689155	0.8406249496	0.4600223955	0.8406254497	0.4596976766	0.84218754498	0.4594331875	0.84218749499	0.4591789696	0.84218499500	0.4589117436	0.84218500501	0.4586187987	0.84531501502	0.4583698426	0.846502	503	0.4581651289	0.8468503504	0.4579386172	0.8453504	505	0.4577831921	0.8453505	506	0.4575337777	0.843750507	0.4571941778	0.843755508	0.4570148494	0.84375
509	0.4567798379	0.846875
510	0.4562593944	0.85
511	0.4559826243	0.853125
