iter	Logloss
0	0.5898549154
1	0.590257155
2	0.5900597197
3	0.5903492525
4	0.5902853775
5	0.5906051274
6	0.5895242271
7	0.5905025634
8	0.5905327964
9	0.5907958272
10	0.5907197543
11	0.5912472594
12	0.5907349831
13	0.5909021794
14	0.5908201492
15	0.5912824484
16	0.5909580434
17	0.5913497659
18	0.5915991685
19	0.5917063931
20	0.5922376684
21	0.5914758507
22	0.5919046811
23	0.5920742874
24	0.5929811119
25	0.592497937
26	0.5924874457
27	0.592643085
28	0.5293997309
29	0.5339603433
30	0.533117743
31	0.5326197377
32	0.5343317039
33	0.5354164176
34	0.5364095225
35	0.5373208723
36	0.5370884126
37	0.5372973004
38	0.5384057219
39	0.5373261303
40	0.5403544123
41	0.5388715959
42	0.5400126356
43	0.5411879442
44	0.5406722279
45	0.5407799035
46	0.5409237444
47	0.5422586269
48	0.5422584464
49	0.5436496835
50	0.5429307596
51	0.543791272
52	0.544606946
53	0.5458464493
54	0.5461443989
55	0.5442360548
56	0.4609186655
57	0.4655409374
58	0.4698664619
59	0.4715241976
60	0.4753034543
61	0.4734309201
62	0.4767883519
63	0.4782983779
64	0.4772066709
65	0.4834001748
66	0.48371661
67	0.4836568559
68	0.4856057436
69	0.4869863039
70	0.4873420366
71	0.490728579
72	0.4907274409
73	0.4934623749
74	0.4923136081
75	0.4927797562
76	0.494530667
77	0.4947657017
78	0.4961738139
79	0.4963971117
80	0.4970724794
81	0.4989713232
82	0.4976909822
83	0.5004362287
84	0.3857114055
85	0.3940828748
86	0.3994418303
87	0.4027727068
88	0.4058577721
89	0.4099841802
90	0.4143857527
91	0.4162196238
92	0.4206587907
93	0.4247093562
94	0.4256522987
95	0.4284608719
96	0.4301220366
97	0.4329858655
98	0.4334189902
99	0.4380946777
100	0.4388150197
101	0.4408218802
102	0.4434861545
103	0.4452009477
104	0.445349456
105	0.4471869286
106	0.4479446297
107	0.4489524272
108	0.4530013232
109	0.4523512279
110	0.453814421
111	0.4550705898
112	0.3059191329
113	0.3178331218
114	0.3276974292
115	0.334061533
116	0.3403520832
117	0.3472201389
118	0.3515263443
119	0.3562978218
120	0.3621654307
121	0.3647067365
122	0.3699974531
123	0.3730583806
124	0.3759891105
125	0.3801228934
126	0.3830513356
127	0.3870364021
128	0.3884679488
129	0.3921736399
130	0.3956137118
131	0.396987412
132	0.4000087892
133	0.402450085
134	0.4050284081
135	0.4062679568
136	0.408937275
137	0.4120698579
138	0.4120025921
139	0.4155275678
140	0.2218327364
